zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60175,4.5087,9.9107,4.5209,1.8274,6.5015,2.8748,1.4503,7.9895,5.3799,4.6902,11.0889,3.6605
60176,2.2131,4.1018,4.6247,3.8279,5.2207,4.2547,0.8878,2.1477,1.4654,0.7462,1.7549,1.2626
60177,3.0737,5.6477,4.7173,2.2525,1.5899,1.0901,0.4816,3.0616,1.8653,1.5244,12.1348,2.7534
60178,2.9651,19.8232,19.2435,2.4979,2.4622,4.7378,2.9764,6.4963,5.2555,10.1611,21.7939,18.4581
60181,1.4339,2.8739,3.2245,1.5291,11.218,0.664,0.5475,4.3139,2.1035,0.2409,1.4531,2.0484
60184,3.0285,8.4194,4.3979,3.4127,3.0515,0.8528,1.9202,5.3191,4.6015,1.5589,9.1954,2.676
60185,3.0559,6.664,5.5423,2.3714,2.835,4.5897,2.5954,4.2422,1.3988,4.2151,7.9402,4.5411
60187,2.4125,1.6593,6.0549,1.9843,7.3785,4.2708,0.9332,3.0511,1.0308,1.3235,2.7397,4.1412
60188,2.2987,4.5187,8.5654,1.1385,7.1737,6.373,0.4204,1.8788,1.8732,1.114,4.4829,1.2492
60190,1.1481,3.785,5.5752,2.6573,5.0758,4.526,2.8045,4.4967,1.4887,2.4904,4.6649,4.255
60191,3.1239,4.4302,3.2842,3.0064,6.0637,3.91,1.1069,3.7416,3.033,0.9433,2.3913,1.8853
60192,1.5802,5.7166,2.6101,2.9266,4.5812,7.1446,1.851,2.431,1.5003,2.1013,9.1432,6.8524
60193,0.9027,3.8266,2.8212,1.5125,1.8011,2.3117,1.7504,3.4597,1.4081,1.1553,3.232,2.1483
60194,1.9596,3.5722,1.939,1.9478,1.3577,3.713,1.6686,3.2958,1.9819,0.7278,4.9177,2.7998
60195,2.1568,2.4521,2.4587,4.245,3.0964,3.8956,1.2235,5.6372,1.6519,0.9303,6.9226,3.3804
60201,0.6086,0.7758,0.6377,2.6764,7.4756,1.5117,0.9552,0.9364,0.968,3.1475,3.9057,3.5865
60202,0.7798,0.7754,2.2865,2.8349,7.578,3.3004,0.4487,0.9934,1.2734,1.4437,2.1196,1.8124
60203,1.3623,1.6473,1.6476,1.6717,6.0897,2.3765,1.0397,1.8327,1.2424,2.3637,4.0323,3.7733
